Категория,Подкатегория 2,Подкатегория 3,Артикул,Имя товара,Цена,Количество,Производитель,Опция:Цвет
Детские товары и игрушки,Прогулки и детская комната,Коляски,166167,Коляска Peg Perego Pliko Mini,"9 570,0",6,Peg Perego,желтый
Детские товары и игрушки,Прогулки и детская комната,Коляски,166167,Коляска Peg Perego Pliko Mini,"10 514,9",15,Peg Perego,зеленый
Детские товары и игрушки,Прогулки и детская комната,Коляски,166167,Коляска Peg Perego Pliko Mini,"14 080,0",14,Peg Perego,красный
Детские товары и игрушки,Прогулки и детская комната,Коляски,166167,Коляска Peg Perego Pliko Mini,"8 998,0",9,Peg Perego,розовый
Детские товары и игрушки,Прогулки и детская комната,Коляски,166167,Коляска Peg Perego Pliko Mini,"9 948,4",9,Peg Perego,черный
Детские товары и игрушки,Прогулки и детская комната,Коляски,166167,Коляска Peg Perego Pliko Mini,"10 448,9",11,Peg Perego,песочный
Детские товары и игрушки,Прогулки и детская комната,Коляски,166167,Коляска Peg Perego Pliko Mini,"10 778,9",15,Peg Perego,бежевый
Детские товары и игрушки,Прогулки и детская комната,Коляски,166167,Коляска Peg Perego Pliko Mini,"9 887,9",2,Peg Perego,синий
Детские товары и игрушки,Прогулки и детская комната,Коляски,193761,Коляска Baby Care Jogger Cruze,"7117,0",2,Baby Care,
Детские товары и игрушки,Прогулки и детская комната,Коляски,193761,Коляска Baby Care Jogger Cruze,"7 689,0",13,Baby Care,зеленый
Детские товары и игрушки,Прогулки и детская комната,Коляски,193761,Коляска Baby Care Jogger Cruze,"8 239,0",14,Baby Care,красный
Детские товары и игрушки,Прогулки и детская комната,Коляски,193761,Коляска Baby Care Jogger Cruze,"8 239,0",11,Baby Care,серый
Детские товары и игрушки,Прогулки и детская комната,Коляски,193761,Коляска Baby Care Jogger Cruze,"7 689,0",5,Baby Care,фиолетовый
Детские товары и игрушки,Прогулки и детская комната,Коляски,193761,Коляска Baby Care Jogger Cruze,"7 689,0",14,Baby Care,синий
Детские товары и игрушки,Прогулки и детская комната,Коляски,951387,Коляска Bexa Cube 2 in 1,"20790,0",11,Bexa,
Детские товары и игрушки,Прогулки и детская комната,Коляски,718125,Коляска Chicco Multiway Evo,"7114,8",15,Chicco,
